Time,Orientation Speed In Current Wobj,Speed In Current Wobj,Maximum Linear Acceleration In World,Orientation\Q1 In Current Wobj,Orientation\Q2 In Current Wobj,Orientation\Q3 In Current Wobj,Orientation\Q4 In Current Wobj,Position\X Position In Current Wobj,Position\Y Position In Current Wobj,Position\Z Position In Current Wobj
53.078,137.557223166875,306.150823831558,3850.43048858643,0.574527144432068,-0.146707639098167,-0.771672546863556,0.230036690831184,275.20740032196,920.642852783203,-1577.04496383667
53.102,105.661571629804,270.076096057892,3850.43048858643,0.565245389938354,-0.161324933171272,-0.771512150764465,0.243394538760185,280.409216880798,922.513067722321,-1580.32619953156
53.126,90.587508056126,266.447007656097,3850.43048858643,0.556521832942963,-0.174047410488129,-0.771516919136047,0.254465281963348,285.800009965897,923.431992530823,-1583.70268344879
53.15,80.6357585108773,266.913920640945,3850.43048858643,0.548194825649261,-0.185435220599174,-0.771675169467926,0.263844043016434,291.265785694122,923.758745193481,-1587.11218833923
53.174,71.7270881349163,264.385998249054,3850.43048858643,0.540375649929047,-0.195633575320244,-0.771892488002777,0.271852135658264,296.703398227692,923.715233802795,-1590.49618244171
53.198,56.2798913268805,264.291495084763,3850.43048858643,0.534590840339661,-0.203622072935104,-0.77150946855545,0.278430968523026,302.117139101028,923.431634902954,-1593.86837482452
53.223,42.9477308972308,261.563330888748,3850.43048858643,0.531570076942444,-0.208475157618523,-0.770706355571747,0.282812833786011,306.570917367935,922.99896478653,-1596.65024280548
53.247,25.1263569186039,264.201879501343,3850.43048858643,0.530363976955414,-0.212431862950325,-0.768818378448486,0.287236928939819,312.83050775528,921.955406665802,-1600.57127475739
53.271,18.4857106207009,254.311621189117,3850.43048858643,0.532291829586029,-0.212984710931778,-0.766589522361755,0.289211690425873,317.929357290268,920.628845691681,-1603.77883911133
53.295,26.6527863773386,251.912146806717,3850.43048858643,0.536717712879181,-0.211192741990089,-0.763810455799103,0.289698630571365,322.882354259491,918.884336948395,-1606.9096326828
53.319,43.499838993505,257.32883810997,6432.46126174927,0.543868124485016,-0.206850230693817,-0.760360658168793,0.288569003343582,327.738791704178,916.638672351837,-1609.99631881714
53.344,63.4666641828921,267.76647567749,6432.46126174927,0.55403596162796,-0.199682876467705,-0.756013214588165,0.285683244466782,332.654893398285,913.789927959442,-1613.14010620117
53.368,82.7347917560381,262.046158313751,6432.46126174927,0.566737949848175,-0.189822286367416,-0.750889539718628,0.280963480472565,337.216794490814,910.499632358551,-1616.07444286346
53.392,98.5468914204819,263.906419277191,6432.46126174927,0.579155683517456,-0.179571092128754,-0.745884478092194,0.275661468505859,340.857207775116,907.42814540863,-1618.42858791351
53.416,116.035884488434,264.922648668289,6432.46126174927,0.595895290374756,-0.165010347962379,-0.738907873630524,0.267760336399078,345.061331987381,903.429627418518,-1621.16277217865
53.44,135.881982669146,265.997558832169,6432.46126174927,0.617672741413116,-0.144891560077667,-0.729217052459717,0.256377369165421,349.736213684082,898.419260978699,-1624.22049045563
53.465,152.151069800388,265.913993120193,6432.46126174927,0.637919008731842,-0.125024557113647,-0.719380080699921,0.244786635041237,353.577107191086,893.917202949524,-1626.74403190613
53.489,160.392403373682,267.741918563843,6432.46126174927,0.658407151699066,-0.103515543043613,-0.708388030529022,0.232316359877586,357.326745986938,889.212787151337,-1629.14001941681
